Long,Lat,Hoogte,EC_0.5m,EC_1m,EC_1.5m,EC_3m,Class_3,Class_5,Outlier
5.8339567,52.6618148,-6.5,10.7,25.6,31,48.2,1,2,0
5.8339573,52.6618237,-6.5,10.7,25.6,31,48.2,1,2,0
5.8339579,52.6618327,-6.5,10.8,25.6,31,48.3,1,2,0
5.8339585,52.6618417,-6.5,10.9,25.7,31.1,48.3,1,2,0
5.8339591,52.6618507,-6.5,11.2,25.7,31.5,48.4,1,2,0
5.8339596,52.6618596,-6.5,11.2,25.7,31.7,48.6,1,2,0
5.8339602,52.6618686,-6.5,11.3,25.8,31.8,48.9,1,2,0
5.8339608,52.6618776,-6.5,11.3,25.9,31.8,48.9,1,2,0
5.8339614,52.6618866,-6.5,11.3,26.2,31.8,49.2,1,2,0
5.833962,52.6618956,-6.5,11.4,26.5,31.8,49.4,1,2,0
5.8339625,52.6619045,-6.5,11.5,26.8,31.9,49.4,1,2,0
5.8339631,52.6619135,-6.5,11.5,27,32,49.6,1,2,0
5.8339637,52.6619225,-6.5,11.5,27.1,32.1,49.8,1,2,0
5.8339643,52.6619315,-6.5,11.6,27.2,32.2,50,1,2,0
5.8339649,52.6619405,-6.5,11.8,27.3,32.2,50,1,2,0
5.8339655,52.6619494,-6.5,11.9,27.5,32.3,50,1,2,0
5.833966,52.6619584,-6.5,11.9,27.7,32.5,50,1,2,0
5.8339666,52.6619674,-6.5,11.9,27.7,32.3,49.7,1,2,0
5.8339672,52.6619764,-6.5,11.8,27.3,32.1,49.5,1,2,0
5.8339678,52.6619854,-6.5,11.7,27.1,32,49.4,1,2,0
5.8339684,52.6619943,-6.5,11.7,26.9,32,49.2,1,2,0
5.8339689,52.6620033,-6.5,11.6,26.8,31.8,48.8,1,2,0
5.8339695,52.6620123,-6.5,11.5,26.7,31.8,48.5,1,2,0
5.8339701,52.6620213,-6.5,11.5,26.7,31.8,48.4,2,2,0
5.8339707,52.6620302,-6.5,11.6,26.9,31.8,48.3,2,2,0
5.8339713,52.6620392,-6.5,11.9,27.1,31.8,48.1,2,2,0
5.8339718,52.6620482,-6.6,12.1,27.3,32,48.1,2,2,0
5.8339724,52.6620572,-6.6,12.3,27.5,32.2,48.1,2,2,0
5.833973,52.6620662,-6.6,12.7,27.8,32.5,48.1,2,2,0
5.8339736,52.6620751,-6.6,13.2,28,33,48,2,2,0
5.8339742,52.6620841,-6.6,13.8,28.3,33.1,47.7,2,2,0
5.8339748,52.6620931,-6.6,14,28.3,33.2,47.6,2,2,0
5.8339753,52.6621021,-6.6,14,28.3,33.3,47.5,2,2,0
5.8339759,52.6621111,-6.6,14,28.3,33.3,47.5,2,2,0
5.8339765,52.66212,-6.6,14,28.3,33.3,47.4,2,2,0
5.8339771,52.662129,-6.6,13.9,28.3,33.3,47.4,2,2,0
5.8339777,52.662138,-6.6,13.7,28.3,33.3,47.3,2,2,0
5.8339709,52.6618054,-6.5,11,25.8,31.2,48.1,1,2,0
5.8339715,52.6618144,-6.5,10.7,25.6,31,48.1,1,2,0
5.8339721,52.6618234,-6.5,10.7,25.6,31,48.1,1,2,0
5.8339727,52.6618324,-6.5,10.8,25.7,31,48.2,1,2,0
5.8339732,52.6618413,-6.5,10.9,25.7,31,48.3,1,2,0
5.8339738,52.6618503,-6.5,11.1,25.7,31.3,48.4,1,2,0
5.8339744,52.6618593,-6.5,11.3,25.7,31.6,48.4,1,2,0
5.833975,52.6618683,-6.5,11.3,25.8,31.8,48.8,1,2,0
5.8339756,52.6618773,-6.5,11.3,25.9,31.8,49,1,2,0
5.8339762,52.6618862,-6.5,11.4,26.2,31.8,49.3,1,2,0
5.8339767,52.6618952,-6.5,11.5,26.5,31.9,49.4,1,2,0
5.8339773,52.6619042,-6.5,11.5,26.8,32,49.7,1,2,0
5.8339779,52.6619132,-6.5,11.6,27,32.1,49.8,1,2,0
5.8339785,52.6619221,-6.5,11.6,27.1,32.2,50,1,2,0
5.8339791,52.6619311,-6.5,11.7,27.3,32.4,50.3,1,2,0
5.8339796,52.6619401,-6.5,11.9,27.5,32.6,50.5,2,2,0
5.8339802,52.6619491,-6.5,12,27.8,32.7,50.5,2,2,0
5.8339808,52.6619581,-6.5,12.1,27.9,32.8,50.4,2,2,0
5.8339814,52.661967,-6.5,12.1,27.9,32.9,50.3,2,2,0
5.833982,52.661976,-6.5,11.9,27.6,32.7,50,2,2,0
5.8339825,52.661985,-6.5,11.8,27.3,32.5,49.9,2,2,0
5.8339831,52.661994,-6.5,11.7,27.1,32.4,49.7,1,2,0
5.8339837,52.662003,-6.5,11.7,26.8,32.1,49.4,1,2,0
5.8339843,52.6620119,-6.5,11.5,26.7,32,48.9,1,2,0
5.8339849,52.6620209,-6.5,11.5,26.7,31.8,48.5,1,2,0
5.8339855,52.6620299,-6.5,11.5,26.8,31.8,48.3,2,2,0
5.833986,52.6620389,-6.5,11.7,27,31.8,48.2,2,2,0
5.8339866,52.6620479,-6.6,11.9,27.2,31.9,48.1,2,2,0
5.8339872,52.6620568,-6.6,12.1,27.3,32.1,48.4,2,2,0
5.8339878,52.6620658,-6.6,12.4,27.5,32.5,48.6,2,2,0
5.8339884,52.6620748,-6.6,12.9,27.9,32.8,48.6,2,2,0
5.8339889,52.6620838,-6.6,13.4,28,33,48.1,2,2,0
5.8339895,52.6620927,-6.6,13.7,28.3,33.1,47.9,2,2,0
5.8339901,52.6621017,-6.6,13.8,28.3,33.2,47.8,2,2,0
5.8339907,52.6621107,-6.6,14,28.3,33.2,47.4,2,2,0
5.8339913,52.6621197,-6.6,13.8,28.3,33.2,47.3,2,2,0
5.8339918,52.6621287,-6.6,13.7,28.3,33.2,47.3,2,2,0
5.8339924,52.6621376,-6.6,13.6,28.1,33.2,47.3,2,2,0
5.833993,52.6621466,-6.6,13.6,27.2,33.1,46.2,2,2,0
5.8339845,52.6617871,-6.5,11.5,26.3,31.8,48.2,1,2,0
5.8339851,52.6617961,-6.5,11.5,26.1,31.7,48.2,1,2,0
5.8339857,52.6618051,-6.5,11.2,25.9,31.3,48.2,1,2,0
5.8339863,52.661814,-6.5,10.8,25.7,31.1,48.2,1,2,0
5.8339869,52.661823,-6.5,10.7,25.6,31,48.2,1,2,0
5.8339874,52.661832,-6.5,10.8,25.6,31,48.2,1,2,0
5.833988,52.661841,-6.5,10.8,25.7,31,48.3,1,2,0
5.8339886,52.66185,-6.5,10.9,25.7,31.1,48.4,1,2,0
5.8339892,52.6618589,-6.5,11.2,25.7,31.4,48.4,1,2,0
