X,Y,Hoogte,EC_0.5m,EC_1m,EC_1.5m,EC_3m,Hoogte2,speed(km/h,tare(kg),workwidth(,yield(ton/,point_weig,tarecorrec,tarecorre2,SampleID
5.83642667140939,52.6601376837474,-6.5,11.558,26.043,30.565,46.537,-4,4.959,21,2.25,43.403,0.874,43.403,73.379,148
5.83650428290051,52.6600610988076,-6.45,11.327,25.589,29.949,45.568,-4,3.717,21,2.25,59.153,0.469,59.153,103.776,149
5.83657353995514,52.6599927499371,-6.5,12.256,27.004,30.826,45.946,-4,1.464,21,2.25,69.845,0.221,69.845,40.609,150
5.83669987985955,52.6600398800583,-6.49,12.044,24.963,28.617,41.626,-4,3.125,21,2.25,81.772,1.216,94.644,161.305,151
5.83663063764564,52.6601081734695,-6.42,10.696,23.991,27.996,42.435,-4,4.115,21,2.25,55.452,1.09,65.698,159.921,152
5.83655302615453,52.6601847583268,-6.5,10.658,24.157,28.479,43.42,-4,5.615,21,2.25,44.08,1.21,50.893,166.985,153
5.8364755045956,52.6602613430499,-6.5,10.698,24.438,28.912,44.402,-4,6.383,21,2.25,48.975,1.588,55.851,161.908,154
5.83639798303666,52.6603379276389,-6.5,10.618,24.462,29.136,45.014,-4,6.371,21,2.25,61.73,1.974,77.541,159.705,155
5.83632037154551,52.6604145120936,-6.5,10.754,24.842,29.84,46.201,-4,6.394,21,2.25,54.434,2.872,67.802,168.833,156
5.83624276005439,52.6604910964141,-6.5,11.103,25.789,30.904,47.789,-4,6.375,21,2.25,44.478,2.99,50.818,153.703,157
5.83616523849545,52.6605676806005,-6.42,11.766,27.611,32.792,50.961,-4,6.403,21,2.25,41.806,2.547,51.04,162.835,158
5.83608771693652,52.6606442646527,-6.45,11.892,28.045,33.617,52.192,-4,6.377,21,2.25,36.181,2.112,44.796,175.028,159
5.83601010544536,52.6607208485707,-6.5,12.204,28.593,34.069,52.656,-4,6.392,21,2.25,43.277,1.9,53.895,163.903,160
5.83593249395425,52.6607974323545,-6.5,12.283,28.784,34.464,53.223,-4,6.411,21,2.25,43.571,1.697,48.233,152.674,161
5.83585497239531,52.6608740160042,-6.5,12.384,29.165,34.992,54.27,-4,6.394,21,2.25,53.853,2.252,66.778,177.02,162
5.83577745083637,52.6609505995197,-6.5,12.841,30.264,36.202,56.206,-4,6.272,21,2.25,51.256,2.366,62.741,165.805,163
5.83569992927744,52.6610271829009,-6.56,13.673,32.34,38.438,59.351,-4,6.37,21,2.25,54.896,2.295,62.298,153.909,164
5.83562231778629,52.661103766148,-6.57,14.276,33.827,40.195,61.945,-4,6.22,21,2.25,54.379,2.606,65.517,161.469,165
5.83554470629517,52.6611803492609,-6.6,13.873,33.128,39.809,61.488,-4,6.13,21,2.25,54.338,2.501,69.78,182.729,166
5.83546718473624,52.6612569322397,-6.6,13.109,31.224,37.759,58.856,-4,6.331,21,2.25,55.365,2.457,63.494,164.347,167
5.83538966317731,52.6613335150842,-6.6,13.151,31.15,37.388,57.959,-4,6.346,21,2.25,50.962,2.577,63.222,148.582,168
5.83531214161837,52.6614100977946,-6.6,12.871,30.527,36.858,57.022,-4,6.31,21,2.25,58.02,2.641,67.719,164.655,169
5.83523453012721,52.6614866803708,-6.59,12.624,29.812,35.911,55.717,-4,6.377,21,2.25,52.449,2.255,60.391,176.054,170
5.83515691863609,52.6615632628128,-6.6,12.255,29.02,34.89,54.078,-4,6.394,21,2.25,55.469,2.65,65.934,165.343,171
5.83507939707716,52.6616398451206,-6.6,12.143,28.15,33.863,52.149,-4,6.39,21,2.25,52.316,2.601,63.548,156.158,172
5.83500187551822,52.6617164272943,-6.6,11.74,27.221,32.924,50.75,-4,6.3,21,2.25,52.689,2.577,62.392,169.88,173
5.83492435395929,52.6617930093337,-6.59,11.396,26.304,31.971,49.408,-4,6.305,21,2.25,52.46,2.449,62.107,169.022,174
5.83484683240036,52.661869591239,-6.58,11.422,26.182,31.758,48.98,-4,6.345,21,2.25,52.028,2.527,63.632,160.468,175
5.83476931084142,52.6619461730101,-6.6,11.597,26.702,32.052,49.543,-4,6.341,21,2.25,51.126,2.57,62.577,169.054,176
5.83469178928249,52.662022754647,-6.6,11.607,26.732,32.286,49.9,-4,6.17,21,2.25,40.201,2.236,46.226,165.823,177
5.83461426772356,52.6620993361498,-6.56,11.509,26.525,32.229,49.821,-4,5.852,21,2.25,57.509,2.18,70.835,163.713,178
5.83453674616462,52.6621759175183,-6.46,11.914,27.245,32.787,50.26,-4,5.474,21,2.25,33.278,2.573,41.907,171.702,179
5.83445922460569,52.6622524987527,-6.5,13.209,27.183,31.713,45.883,-4,3.394,21,2.25,6.43,2.238,9.421,172.422,180
5.83458557935081,52.6622995710545,-6.49,12.483,26.827,30.634,45.321,-4,3.455,21,2.25,3.368,1.496,3.325,179.676,181
5.83466310090975,52.6622229899026,-6.5,12.144,27.695,32.543,49.773,-4,6.1,21,2.062,26.676,1.991,26.676,179.52,182
5.83474062246868,52.6621464086165,-6.57,11.835,27.062,32.653,50.335,-4,6.311,21,2.18,53.168,1.923,53.113,183.626,183
5.83481814402761,52.6620698271963,-6.6,11.684,26.971,32.461,50.006,-4,6.37,21,2.101,54.377,1.87,54.447,181.4,184
5.83489566558654,52.6619932456418,-6.56,11.93,27.436,32.807,50.295,-4,6.393,21,2.102,48.605,1.914,48.408,177.548,185
5.83497318714548,52.6619166639532,-6.56,11.438,26.233,31.812,49.182,-4,6.39,21,2.136,51.473,2.086,51.493,182.647,186
5.83505070870441,52.6618400821304,-6.6,12.147,28.091,33.471,51.335,-4,6.383,21,2.136,53.777,1.844,53.818,183.037,187
5.83512823026335,52.6617635001734,-6.6,12.041,27.861,33.529,51.68,-4,6.385,21,2.137,54.256,2.094,54.302,181.131,188
5.83520575182228,52.6616869180823,-6.54,12.348,28.755,34.443,53.16,-4,6.401,21,2.098,49.879,1.882,49.964,180.508,189
5.83528327338121,52.6616103358569,-6.54,12.663,29.68,35.635,54.971,-4,6.387,21,2.123,51.997,1.923,51.982,182.527,190
5.83536088487233,52.6615337534974,-6.55,13.073,30.582,36.677,56.529,-4,6.387,21,2.115,50.863,1.898,50.85,177.549,191
5.83543849636349,52.6614571710037,-6.58,13.382,31.514,37.819,58.506,-4,6.399,21,2.103,49.466,1.855,49.425,180.784,192
5.83551601792242,52.6613805883758,-6.58,13.554,32.146,38.571,59.732,-4,6.385,21,2.15,51.246,2.011,51.389,180.158,193
5.83559353948136,52.6613040056137,-6.57,13.445,31.916,38.608,60.065,-4,6.385,21,2.095,45.583,1.998,45.608,177.981,194
5.83567106104029,52.6612274227174,-6.57,14.211,33.64,40.355,62.305,-4,6.379,21,2.139,54.828,2.042,54.716,178.87,195
5.83574867253141,52.661150839687,-6.55,14.49,34.427,40.897,62.714,-4,6.364,21,2.149,48.571,1.874,48.584,184.098,196
